N_requested,scenario,n_informative_branches,spearman_vs_Nmax,top5_jaccard_pct,top10_jaccard_pct,top5_current_set_size,top5_ref_set_size,top10_current_set_size,top10_ref_set_size
50,S1_Low_Conc,2,NaN,100,100,2,2,2,2
50,S2_High_Conc,5,1,80,80,4,5,4,5
50,S3_Low_Dist,2,NaN,100,100,2,2,2,2
50,S4_High_Dist,3,1,100,100,3,3,3,3
100,S1_Low_Conc,2,NaN,100,100,2,2,2,2
100,S2_High_Conc,5,1,100,100,5,5,5,5
100,S3_Low_Dist,2,NaN,100,100,2,2,2,2
100,S4_High_Dist,3,1,100,100,3,3,3,3
200,S1_Low_Conc,2,NaN,100,100,2,2,2,2
200,S2_High_Conc,5,1,100,100,5,5,5,5
200,S3_Low_Dist,2,NaN,100,100,2,2,2,2
200,S4_High_Dist,3,1,100,100,3,3,3,3
400,S1_Low_Conc,2,NaN,100,100,2,2,2,2
400,S2_High_Conc,5,1,100,100,5,5,5,5
400,S3_Low_Dist,2,NaN,100,100,2,2,2,2
400,S4_High_Dist,3,1,100,100,3,3,3,3
800,S1_Low_Conc,2,NaN,100,100,2,2,2,2
800,S2_High_Conc,5,1,100,100,5,5,5,5
800,S3_Low_Dist,2,NaN,100,100,2,2,2,2
800,S4_High_Dist,3,1,100,100,3,3,3,3
1200,S1_Low_Conc,2,NaN,100,100,2,2,2,2
1200,S2_High_Conc,5,1,100,100,5,5,5,5
1200,S3_Low_Dist,2,NaN,100,100,2,2,2,2
1200,S4_High_Dist,3,1,100,100,3,3,3,3
1600,S1_Low_Conc,2,NaN,100,100,2,2,2,2
1600,S2_High_Conc,5,1,100,100,5,5,5,5
1600,S3_Low_Dist,2,NaN,100,100,2,2,2,2
1600,S4_High_Dist,3,1,100,100,3,3,3,3
2000,S1_Low_Conc,2,NaN,100,100,2,2,2,2
2000,S2_High_Conc,5,1,100,100,5,5,5,5
2000,S3_Low_Dist,2,NaN,100,100,2,2,2,2
2000,S4_High_Dist,3,1,100,100,3,3,3,3
