branch_idx,from_bus,to_bus,rating_MVA,min_base_LCP80_pct,max_base_LCP80_pct,base_LCP80_at_0p70_pct,min_DeltaLCP80_pp,max_DeltaLCP80_pp,structural_flag_all_peak_levels,structural_flag_any_peak_level,res_sensitive_flag_any_peak_level
1,1,2,151,0,0,0,0,0,0,0,0
2,1,3,151,0,0,0,0,0,0,0,0
3,4,5,176,0,0,0,0,0,0,0,0
4,3,5,175,0,0,0,0,0,0,0,0
5,5,6,176,0,0,0,0,0,0,0,0
6,6,7,176,0,0,0,0,0,0,0,0
7,8,9,711,0,0,0,0,0,0,0,0
8,8,5,1099,0,0,0,0,0,0,0,0
9,9,10,710,0,0,0,0,0,0,0,0
10,4,11,151,0,0,0,0,0,0,0,0
11,5,11,152,0,0,0,0,0,0,0,0
12,11,12,151,0,0,0,0,0,0,0,0
13,2,12,151,0,0,0,0,0,0,0,0
14,3,12,151,0,0,0,0,0,0,0,0
15,7,12,164,0,0,0,0,0,0,0,0
16,11,13,151,0,0,0,0,0,0,0,0
17,12,14,151,0,0,0,0,0,0,0,0
18,13,15,115,0,0,0,0,0,0,0,0
19,14,15,144,0,0,0,0,0,0,0,0
20,12,16,164,0,0,0,0,0,0,0,0
21,15,17,151,0,0,0,0,0,0,0,0
22,16,17,158,0,0,0,0,0,0,0,0
23,17,18,167,0,0,0,0,0,0,0,0
24,18,19,173,0,0,0,0,0,0,0,0
25,19,20,178,0,0,0,0,0,0,0,0
26,15,19,151,0,0,0,0,0,0,0,0
27,20,21,177,0,0,0,0,0,0,0,0
28,21,22,178,0,0,0,0,0,0,0,0
29,22,23,178,0,0,0,0,0,0,0,0
30,23,24,158,0,0,0,0,0.239583333333333,0,0,0
31,23,25,186,0,0,0,0,0,0,0,0
32,26,25,768,0,0,0,0,0,0,0,0
33,25,27,177,0,0,0,0,0,0,0,0
34,27,28,174,0,0,0,0,0,0,0,0
35,28,29,165,0,0,0,0,0,0,0,0
36,30,17,756,0,0,0,0,0,0,0,0
37,8,30,580,0,0,0,0,0,0,0,0
38,26,30,340,0,25,0,0.0833333333333333,10.375,0,0,1
39,17,31,151,0,0,0,0,0,0,0,0
40,29,31,146,0,0,0,0,0,0,0,0
41,23,32,158,0,0,0,0,0,0,0,0
42,31,32,151,0,0,0,0,0,0,0,0
43,27,32,151,0,0,0,0,0,0,0,0
44,15,33,150,0,0,0,0,0,0,0,0
45,19,34,114,0,0,0,0,0,0,0,0
46,35,36,176,0,0,0,0,0,0,0,0
47,35,37,175,0,0,0,0,0,0,0,0
48,33,37,154,0,0,0,0,0,0,0,0
49,34,36,146,0,0,0,0,0,0,0,0
50,34,37,159,0,0,0,0,0,0,0,0
51,38,37,783,0,0,0,0,0,0,0,0
52,37,39,151,0,0,0,0,0,0,0,0
53,37,40,140,0,0,0,0,0,0,0,0
54,30,38,542,0,0,0,0,0,0,0,0
55,39,40,151,0,0,0,0,0,0,0,0
56,40,41,152,0,0,0,0,0,0,0,0
57,40,42,151,0,0,0,0,0,0,0,0
58,41,42,151,0,0,0,0,0,0,0,0
59,43,44,117,0,0,0,0,0.354166666666667,0,0,0
60,34,43,167,0,0,0,0,0,0,0,0
61,44,45,166,0,0,0,0,0,0,0,0
62,45,46,153,0,0,0,0,3.125,0,0,1
63,46,47,152,0,0,0,0,0,0,0,0
64,46,48,148,0,0,0,0,0,0,0,0
65,47,49,150,0,0,0,0,0,0,0,0
66,42,49,89,0,0,0,0,0,0,0,0
67,42,49,89,0,0,0,0,0,0,0,0
68,45,49,138,0,0,0,0,8.05208333333333,0,0,1
69,48,49,140,0,0,0,0,0,0,0,0
70,49,50,140,0,0,0,0,1,0,0,0
71,49,51,140,0,0,0,0,0,0,0,0
72,51,52,142,0,0,0,0,0,0,0,0
73,52,53,166,0,0,0,0,0,0,0,0
74,53,54,177,0,0,0,0,0,0,0,0
75,49,54,99,0,0,0,0,0,0,0,0
76,49,54,97,0,0,0,0,0,0,0,0
77,54,55,169,0,0,0,0,0,0,0,0
78,54,56,155,0,0,0,0,0,0,0,0
79,55,56,146,0,0,0,0,0,0,0,0
80,56,57,140,0,0,0,0,0,0,0,0
81,50,57,140,0,0,0,0,0,0,0,0
82,56,58,140,0,0,0,0,0,0,0,0
83,51,58,140,0,0,0,0,0,0,0,0
84,54,59,125,0,0,0,0,0,0,0,0
85,56,59,112,0,0,0,0,0,0,0,0
86,56,59,117,0,0,0,0,0,0,0,0
87,55,59,133,0,0,0,0,0,0,0,0
88,59,60,176,0,0,0,0,0,0,0,0
89,59,61,176,0,0,0,0,0,0,0,0
90,60,61,186,0,0,0,0,0,0,0,0
91,60,62,176,0,0,0,0,0,0,0,0
92,61,62,176,0,0,0,0,0,0,0,0
93,63,59,760,0,0,0,0,0,0,0,0
94,63,64,687,0,0,0,0,0,0,0,0
95,64,61,1095,0,0,0,0,0,0,0,0
96,38,65,297,0,0,0,0,0,0,0,0
97,64,65,675,0,0,0,0,0,0,0,0
98,49,66,186,0,0,0,0,0,0,0,0
99,49,66,186,0,0,0,0,0,0,0,0
100,62,66,132,0,0,0,0,0,0,0,0
101,62,67,176,0,0,0,0,0,0,0,0
102,65,66,793,0,0,0,0,0,0,0,0
103,66,67,176,0,0,0,0,0,0,0,0
104,65,68,686,0,0,0,0,0,0,0,0
105,47,69,102,0,0,0,0,0,0,0,0
106,49,69,87,0,0,0,0,0,0,0,0
107,68,69,793,0,0,0,0,0,0,0,0
108,69,70,170,0,0,0,0,0,0,0,0
109,24,70,72,0,0,0,0,0.302083333333333,0,0,0
110,70,71,166,0,0,0,0,0,0,0,0
111,24,72,146,0,0,0,0,0,0,0,0
112,71,72,159,0,0,0,0,0,0,0,0
113,71,73,188,0,0,0,0,0,0,0,0
114,70,74,151,0,0,0,0,0,0,0,0
115,70,75,151,0,0,0,0,0,0,0,0
116,69,75,145,0,0,0,0,1.28125,0,0,0
117,74,75,151,0,0,0,0,0,0,0,0
118,76,77,152,0,0,0,0,0,0,0,0
119,69,77,150,0,0,0,0,0,0,0,0
120,75,77,141,0,0,0,0,0,0,0,0
121,77,78,151,0,0,0,0,0,0,0,0
122,78,79,174,0,0,0,0,0,0,0,0
123,77,80,141,0,41.6666666666667,4.16666666666667,-25.6875,0,0,0,0
124,77,80,157,0,0,0,0,0,0,0,0
125,79,80,175,0,0,0,0,0,0,0,0
126,68,81,684,0,0,0,0,0,0,0,0
127,81,80,793,0,0,0,0,0,0,0,0
128,77,82,141,0,0,0,0,0,0,0,0
129,82,83,150,0,0,0,0,0,0,0,0
130,83,84,122,0,0,0,0,0,0,0,0
131,83,85,154,0,0,0,0,0,0,0,0
132,84,85,122,0,0,0,0,0,0,0,0
133,85,86,156,0,0,0,0,0,0,0,0
134,86,87,141,0,0,0,0,0,0,0,0
135,85,88,186,0,0,0,0,0,0,0,0
136,85,89,168,0,0,0,0,0,0,0,0
137,88,89,186,0,0,0,0,0,0,0,0
138,89,90,151,0,0,0,0,0,0,0,0
139,89,90,169,0,0,0,0,0,0,0,0
140,90,91,151,0,0,0,0,0,0,0,0
141,89,92,186,0,0,0,0,0,0,0,0
142,89,92,166,0,0,0,0,0,0,0,0
143,91,92,151,0,0,0,0,0,0,0,0
144,92,93,151,0,0,0,0,0,0,0,0
145,92,94,151,0,0,0,0,0,0,0,0
146,93,94,151,0,0,0,0,0,0,0,0
147,94,95,151,0,0,0,0,0,0,0,0
148,80,96,159,0,0,0,0,0,0,0,0
149,82,96,150,0,0,0,0,0,0,0,0
150,94,96,149,0,0,0,0,0,0,0,0
151,80,97,186,0,0,0,0,0,0,0,0
152,80,98,176,0,0,0,0,0,0,0,0
153,80,99,140,0,0,0,0,0,0,0,0
154,92,100,98,0,0,0,0,0,0,0,0
155,94,100,150,100,100,100,0,0,1,1,0
156,95,96,149,0,0,0,0,0,0,0,0
157,96,97,186,0,0,0,0,0,0,0,0
158,98,100,160,0,0,0,0,0,0,0,0
159,99,100,175,0,0,0,0,0,0,0,0
160,100,101,176,0,0,0,0,0,0,0,0
161,92,102,176,0,0,0,0,0,0,0,0
162,101,102,176,0,0,0,0,0,0,0,0
163,100,103,151,0,54.1666666666667,4.16666666666667,0,0,0,1,0
164,100,104,141,0,0,0,0,0,0,0,0
165,103,104,153,0,0,0,0,0,0,0,0
166,103,105,145,0,0,0,0,0,0,0,0
167,100,106,124,0,0,0,0,0,0,0,0
168,104,105,161,0,0,0,0,0,0,0,0
169,105,106,164,0,0,0,0,0,0,0,0
170,105,107,154,0,0,0,0,0,0,0,0
171,105,108,137,0,0,0,0,0,0,0,0
172,106,107,154,0,0,0,0,0,0,0,0
173,108,109,138,0,0,0,0,0,0,0,0
174,103,110,159,0,0,0,0,0,0,0,0
175,109,110,138,0,0,0,0,0,0,0,0
176,110,111,154,0,0,0,0,0,0,0,0
177,110,112,135,0,0,0,0,0,0,0,0
178,17,113,151,0,0,0,0,0,0,0,0
179,32,113,139,0,0,0,0,0,0,0,0
180,32,114,176,0,0,0,0,0,0,0,0
181,27,115,175,0,0,0,0,0,0,0,0
182,114,115,175,0,0,0,0,0,0,0,0
183,68,116,7218,0,0,0,0,0,0,0,0
184,12,117,170,0,0,0,0,0,0,0,0
185,75,118,151,0,0,0,0,0.4375,0,0,0
186,76,118,151,0,0,0,0,0,0,0,0
