peak_frac,scenario,scenario_label,requested_opfs,successful_opfs,failed_opfs,success_rate_pct,mean_time_per_opf_s,median_time_per_opf_s,max_mean_daily_opf_time_s,total_solver_time_s
0.6,BASE_NoRES,No RES,24,24,0,100,0.211922758333333,0.21229335,0.2275068,5.0861462
0.65,BASE_NoRES,No RES,24,24,0,100,0.220693841666667,0.21821915,0.2468212,5.2966522
0.7,BASE_NoRES,No RES,24,24,0,100,0.223039279166667,0.222712,0.2364888,5.3529427
0.75,BASE_NoRES,No RES,24,24,0,100,0.225128270833333,0.2254935,0.2454365,5.4030785
0.8,BASE_NoRES,No RES,24,24,0,100,0.22587425,0.2246316,0.2605829,5.420982
0.6,S1_Low_Conc,Low/Concentrated,9600,9600,0,100,0.521403088677083,0.452761804166667,1.27659694166667,5005.4696513
0.6,S2_High_Conc,High/Concentrated,9600,9600,0,100,0.434593902,0.433592283333333,0.488046958333334,4172.1014592
0.6,S3_Low_Dist,Low/Distributed,9600,9600,0,100,0.340794260416666,0.338112025,0.417535345833333,3271.6249
0.6,S4_High_Dist,High/Distributed,9600,9600,0,100,0.33365063553125,0.33430319375,0.353484925,3203.0461011
0.65,S1_Low_Conc,Low/Concentrated,9600,9600,0,100,0.338179456958333,0.338240960416667,0.373613545833333,3246.5227868
0.65,S2_High_Conc,High/Concentrated,9600,9600,0,100,0.334906368458333,0.334137152083333,0.3705444,3215.1011372
0.65,S3_Low_Dist,Low/Distributed,9600,9600,0,100,0.340628510572917,0.341144025,0.359216245833333,3270.0337015
0.65,S4_High_Dist,High/Distributed,9600,9600,0,100,0.336283245145833,0.336243985416667,0.362846304166667,3228.3191534
0.7,S1_Low_Conc,Low/Concentrated,9600,9600,0,100,0.338292829239583,0.338196916666667,0.373982045833333,3247.6111607
0.7,S2_High_Conc,High/Concentrated,9600,9600,0,100,0.335453795125,0.33544784375,0.366487604166667,3220.3564332
0.7,S3_Low_Dist,Low/Distributed,9600,9600,0,100,0.343665324489583,0.342955366666667,0.378801958333333,3299.1871151
0.7,S4_High_Dist,High/Distributed,9600,9600,0,100,0.34056692415625,0.33998323125,0.384040275,3269.4424719
0.75,S1_Low_Conc,Low/Concentrated,9600,9600,0,100,0.338717601604167,0.338776202083333,0.365195725,3251.6889754
0.75,S2_High_Conc,High/Concentrated,9600,9600,0,100,0.3347465005,0.33473644375,0.355716470833333,3213.5664048
0.75,S3_Low_Dist,Low/Distributed,9600,9600,0,100,0.340978400927083,0.340560058333333,0.3670298125,3273.3926489
0.75,S4_High_Dist,High/Distributed,9600,9600,0,100,0.345790597458333,0.344050983333333,0.4493234625,3319.5897356
0.8,S1_Low_Conc,Low/Concentrated,9600,9600,0,100,0.338632681302083,0.338808145833333,0.3597604375,3250.8737405
0.8,S2_High_Conc,High/Concentrated,9600,9600,0,100,0.336328133635417,0.336534308333333,0.368889870833333,3228.7500829
0.8,S3_Low_Dist,Low/Distributed,9600,9600,0,100,0.344131195479167,0.343454916666667,0.389162254166667,3303.6594766
0.8,S4_High_Dist,High/Distributed,9600,9600,0,100,0.342625035125,0.342743214583333,0.3672655875,3289.2003372
