contingency_id,outage_branch_idx,outage_branch,threshold,successful_hours,max_base_LCP_pct,top_branch_idx,top_from_bus,top_to_bus,mean_cost,mean_loss_MW,max_loading_pct,min_voltage_pu,max_voltage_pu
1,38,26-30,0.7,24,100,31,23,25,49361.6979441925,64.6395465074223,100.00004509716,0.98954300916881,1.0599999992704
1,38,26-30,0.8,24,100,31,23,25,49361.6979441925,64.6395465074223,100.00004509716,0.98954300916881,1.0599999992704
1,38,26-30,0.9,24,100,31,23,25,49361.6979441925,64.6395465074223,100.00004509716,0.98954300916881,1.0599999992704
2,8,8-5,0.7,24,100,21,15,17,49331.6589641726,79.7571510210292,100.000017643029,0.977483939622647,1.05999999810282
2,8,8-5,0.8,24,100,155,94,100,49331.6589641726,79.7571510210292,100.000017643029,0.977483939622647,1.05999999810282
2,8,8-5,0.9,24,100,155,94,100,49331.6589641726,79.7571510210292,100.000017643029,0.977483939622647,1.05999999810282
3,32,26-25,0.7,24,100,38,26,30,49258.285061725,61.2662560147348,100.000004046659,0.987115198278676,1.05999999966737
3,32,26-25,0.8,24,100,38,26,30,49258.285061725,61.2662560147348,100.000004046659,0.987115198278676,1.05999999966737
3,32,26-25,0.9,24,100,38,26,30,49258.285061725,61.2662560147348,100.000004046659,0.987115198278676,1.05999999966737
4,31,23-25,0.7,24,100,33,25,27,48835.19197103,61.5074277366244,100.000002916787,0.987178859149349,1.05999999888014
4,31,23-25,0.8,24,100,33,25,27,48835.19197103,61.5074277366244,100.000002916787,0.987178859149349,1.05999999888014
4,31,23-25,0.9,24,100,38,26,30,48835.19197103,61.5074277366244,100.000002916787,0.987178859149349,1.05999999888014
5,155,94-100,0.7,24,100,38,26,30,47953.6652649549,69.6982342362631,100.000000016178,0.997701958900561,1.05999999956086
5,155,94-100,0.8,24,100,154,92,100,47953.6652649549,69.6982342362631,100.000000016178,0.997701958900561,1.05999999956086
5,155,94-100,0.9,24,95.8333333333333,154,92,100,47953.6652649549,69.6982342362631,100.000000016178,0.997701958900561,1.05999999956086
6,150,94-96,0.7,24,100,38,26,30,48239.5833298198,66.6845469742624,100.000007927943,0.992024707923259,1.05999999981264
6,150,94-96,0.8,24,100,147,94,95,48239.5833298198,66.6845469742624,100.000007927943,0.992024707923259,1.05999999981264
6,150,94-96,0.9,24,100,155,94,100,48239.5833298198,66.6845469742624,100.000007927943,0.992024707923259,1.05999999981264
