severity_rank,scenario,scenario_label,contingency_id,outage_branch_idx,outage_branch,threshold,top_delta_branch_idx,top_from_bus,top_to_bus,rating_MVA,base_LCP_pct,RES_LCP_pct,delta_LCP_pp,bootstrap_se_pp,LCP_ci_low_pct,LCP_ci_high_pct,mean_daily_loss_MWh,curtailment_probability_pct,severity_score
1,S2_High_Conc,High/Concentrated,5,155,94-100,0.8,38,26,30,340,0,12.5520833333333,12.5520833333333,0.594556108847908,11.3645830154419,13.71875,1688.92244369574,1.25,0.850516126758929
2,S2_High_Conc,High/Concentrated,2,8,8-5,0.8,68,45,49,138,0,6.28125,6.28125,0.376448282800509,5.54166650772095,7.10416650772095,1904.23888521866,1.25,0.831285831285831
3,S2_High_Conc,High/Concentrated,6,150,94-96,0.8,38,26,30,340,8.33333333333333,19.9583333333333,11.625,0.56882428111277,18.9270839691162,21.125,1609.29681936977,1.25,0.772554172942843
4,S2_High_Conc,High/Concentrated,1,38,26-30,0.8,33,25,27,177,0,12.71875,12.71875,0.773022133696846,11.28125,14.3645830154419,1551.07629085305,1.25,0.761980569749592
5,S2_High_Conc,High/Concentrated,4,31,23-25,0.8,68,45,49,138,0,6.90625,6.90625,0.39178493622754,6.13541650772095,7.71875,1484.67165042848,1.25,0.564891975886231
6,S2_High_Conc,High/Concentrated,3,32,26-25,0.8,68,45,49,138,0,6.53125,6.53125,0.380855076289507,5.78125,7.33333349227905,1469.03427908975,1.25,0.544524916124732
7,S4_High_Dist,High/Distributed-diversified,5,155,94-100,0.8,38,26,30,340,0,10.65625,10.65625,0.442823477255178,9.83333301544189,11.5416669845581,1619.13055575948,0,0.420459414000455
8,S1_Low_Conc,Low/Concentrated,5,155,94-100,0.8,38,26,30,340,0,8.85416666666667,8.85416666666667,0.449519800527688,7.97916650772095,9.6875,1627.78956631568,0,0.379066241781958
9,S4_High_Dist,High/Distributed-diversified,2,8,8-5,0.8,66,42,49,89,0,1.94791666666667,1.94791666666667,0.101296859590606,1.73958337306976,2.14583325386047,1847.86041611493,0,0.34638723715376
10,S3_Low_Dist,Low/Distributed-diversified,2,8,8-5,0.8,66,42,49,89,0,1.52083333333333,1.52083333333333,0.101096412677075,1.32291662693024,1.71875,1859.01265714266,0,0.342710452474499
11,S3_Low_Dist,Low/Distributed-diversified,5,155,94-100,0.8,38,26,30,340,0,7.45833333333333,7.45833333333333,0.366981757312964,6.6875,8.13541698455811,1619.71432876756,0,0.337041773099226
12,S4_High_Dist,High/Distributed-diversified,6,150,94-96,0.8,38,26,30,340,8.33333333333333,17.71875,9.38541666666667,0.327510281798286,17.0729160308838,18.3854160308838,1542.87758788997,0,0.335761505516342
13,S1_Low_Conc,Low/Concentrated,2,8,8-5,0.8,38,26,30,340,0,0.395833333333333,0.395833333333333,0.123783287459153,0.1875,0.666666686534882,1859.47276765049,0,0.313536521632488
14,S1_Low_Conc,Low/Concentrated,6,150,94-96,0.8,38,26,30,340,8.33333333333333,16.0416666666667,7.70833333333334,0.346837396383609,15.3645830154419,16.6979160308838,1554.9559629779,0,0.299948870549544
15,S3_Low_Dist,Low/Distributed-diversified,6,150,94-96,0.8,38,26,30,340,8.33333333333333,15.1354166666667,6.80208333333333,0.25545794434262,14.6666669845581,15.625,1547.63745515334,0,0.271265424479521
16,S1_Low_Conc,Low/Concentrated,1,38,26-30,0.8,33,25,27,177,0,7.22916666666667,7.22916666666667,0.526523273270858,6.30208349227905,8.28125,1500.94659393726,0,0.250990402642268
17,S4_High_Dist,High/Distributed-diversified,1,38,26-30,0.8,33,25,27,177,0,7.23958333333333,7.23958333333333,0.50118865159646,6.22916650772095,8.28125,1482.00453726226,0,0.238497108835756
18,S3_Low_Dist,Low/Distributed-diversified,1,38,26-30,0.8,33,25,27,177,0,3.95833333333333,3.95833333333333,0.281976594149668,3.41666674613953,4.52083349227905,1491.97771902868,0,0.159223604003847
19,S4_High_Dist,High/Distributed-diversified,4,31,23-25,0.8,70,49,50,140,0,1.01041666666667,1.01041666666667,0.277972880444034,0.53125,1.625,1421.72657348237,0,0.0346176731873919
20,S4_High_Dist,High/Distributed-diversified,3,32,26-25,0.8,70,49,50,140,0,1.02083333333333,1.02083333333333,0.269855916661402,0.520833313465119,1.5625,1409.6537806972,0,0.0267540267540268
21,S1_Low_Conc,Low/Concentrated,4,31,23-25,0.8,1,1,2,151,0,0,0,0,0,0,1430.69546227308,0,0.0141813689787804
22,S3_Low_Dist,Low/Distributed-diversified,4,31,23-25,0.8,1,1,2,151,0,0,0,0,0,0,1425.37886626593,0,0.010598166304761
23,S1_Low_Conc,Low/Concentrated,3,32,26-25,0.8,1,1,2,151,0,0,0,0,0,0,1423.02245850225,0,0.00901002859624473
24,S3_Low_Dist,Low/Distributed-diversified,3,32,26-25,0.8,1,1,2,151,0,0,0,0,0,0,1419.02658406024,0,0.00631694678856814
