zone,lag_hours,correlation
Z1_NW,1,0.9574814663778685
Z1_NW,2,0.8845492945526194
Z1_NW,3,0.8087205126880046
Z1_NW,4,0.7355207175243333
Z1_NW,5,0.6677249606967287
Z1_NW,6,0.6078126602932502
Z1_NW,7,0.5555278710631844
Z1_NW,8,0.5111510218119514
Z1_NW,9,0.47479433243585184
Z1_NW,10,0.44504265849596425
Z1_NW,11,0.4197827436904738
Z1_NW,12,0.3979497757320117
Z1_NW,13,0.37734702934295994
Z1_NW,14,0.36008345905211536
Z1_NW,15,0.3467369033279917
Z1_NW,16,0.33844003057242633
Z1_NW,17,0.3374435981745653
Z1_NW,18,0.3440078875499173
Z1_NW,19,0.35615224054060945
Z1_NW,20,0.3715279082429612
Z1_NW,21,0.3871211522245118
Z1_NW,22,0.39869751957666666
Z1_NW,23,0.4020033332628267
Z1_NW,24,0.39438523161241695
Z2_NE,1,0.9592697887231642
Z2_NE,2,0.8927535141331786
Z2_NE,3,0.8249656653836149
Z2_NE,4,0.7596376881235294
Z2_NE,5,0.6971347910470848
Z2_NE,6,0.6381543436821263
Z2_NE,7,0.5835048561858678
Z2_NE,8,0.5350660775308086
Z2_NE,9,0.49306265126609694
Z2_NE,10,0.45704006617173126
Z2_NE,11,0.4275161194775023
Z2_NE,12,0.4047554542654801
Z2_NE,13,0.38839498850549786
Z2_NE,14,0.37985463214193144
Z2_NE,15,0.3770225245277698
Z2_NE,16,0.37862184085073036
Z2_NE,17,0.38422760304141923
Z2_NE,18,0.39176321606720416
Z2_NE,19,0.3994319581160177
Z2_NE,20,0.4072673195320537
Z2_NE,21,0.4140107140261907
Z2_NE,22,0.41819559304253506
Z2_NE,23,0.4173164376937871
Z2_NE,24,0.40987443608708346
Z3_CW,1,0.9573699778316113
Z3_CW,2,0.8840081820458595
Z3_CW,3,0.805456809763446
Z3_CW,4,0.7283158015985766
Z3_CW,5,0.6569746639087016
Z3_CW,6,0.5950206651489471
Z3_CW,7,0.5427457991463661
Z3_CW,8,0.5003104066528219
Z3_CW,9,0.4674906251752369
Z3_CW,10,0.44155655478863126
Z3_CW,11,0.4197631642447959
Z3_CW,12,0.3997275901338095
Z3_CW,13,0.38000955546652115
Z3_CW,14,0.3619080222159677
Z3_CW,15,0.34644676175644357
Z3_CW,16,0.3366313476372217
Z3_CW,17,0.3345367911332294
Z3_CW,18,0.34037671006388714
Z3_CW,19,0.3518782195704919
Z3_CW,20,0.3667804593138859
Z3_CW,21,0.38239559075748025
Z3_CW,22,0.3937780118471983
Z3_CW,23,0.3962584693238254
Z3_CW,24,0.38767522820509764
Z4_CI,1,0.9609880891859007
Z4_CI,2,0.8936508146549405
Z4_CI,3,0.8211673998139515
Z4_CI,4,0.7491487423954087
Z4_CI,5,0.6813594538805777
Z4_CI,6,0.6191810728058059
Z4_CI,7,0.5646416498266962
Z4_CI,8,0.5177447070988859
Z4_CI,9,0.4794336674689974
Z4_CI,10,0.4486364182635675
Z4_CI,11,0.42442331704350644
Z4_CI,12,0.4059783235747133
Z4_CI,13,0.39296403609755737
Z4_CI,14,0.38631929006826643
Z4_CI,15,0.38626782300613816
Z4_CI,16,0.3921821148614244
Z4_CI,17,0.4031152380896023
Z4_CI,18,0.4171528529448858
Z4_CI,19,0.43240049367143685
Z4_CI,20,0.4474873529169452
Z4_CI,21,0.4599355640347813
Z4_CI,22,0.4674000843625326
Z4_CI,23,0.4676775018133547
Z4_CI,24,0.4577202777909263
Z5_SW,1,0.9673381562856025
Z5_SW,2,0.9040028890990227
Z5_SW,3,0.8329759065503702
Z5_SW,4,0.7626953515931022
Z5_SW,5,0.6972488411471219
Z5_SW,6,0.6384478962348662
Z5_SW,7,0.587795174933417
Z5_SW,8,0.5456656491584696
Z5_SW,9,0.5107041715104552
Z5_SW,10,0.48181581235863463
Z5_SW,11,0.4577823442220441
Z5_SW,12,0.43728099439788615
Z5_SW,13,0.4175634791740402
Z5_SW,14,0.40053472730822276
Z5_SW,15,0.3876960685219426
Z5_SW,16,0.38082357681711304
Z5_SW,17,0.38141900474757173
Z5_SW,18,0.3892036069101085
Z5_SW,19,0.4027958259653098
Z5_SW,20,0.419869337211904
Z5_SW,21,0.4370443452477756
Z5_SW,22,0.4498720528529268
Z5_SW,23,0.4544083624698606
Z5_SW,24,0.4470073188645058
Z6_SE,1,0.9532493779023208
Z6_SE,2,0.870950806064737
Z6_SE,3,0.7833288261106135
Z6_SE,4,0.699630314601045
Z6_SE,5,0.6225600863116292
Z6_SE,6,0.5526658310220028
Z6_SE,7,0.48967402970553364
Z6_SE,8,0.4324369411011832
Z6_SE,9,0.3820771587609863
Z6_SE,10,0.3403233233079085
Z6_SE,11,0.3087323711859823
Z6_SE,12,0.28872260571626995
Z6_SE,13,0.2796309934869591
Z6_SE,14,0.28187653158667725
Z6_SE,15,0.2929921755947743
Z6_SE,16,0.3104121489560132
Z6_SE,17,0.33111096733226597
Z6_SE,18,0.3545490562734934
Z6_SE,19,0.3806589821537181
Z6_SE,20,0.4085447083203498
Z6_SE,21,0.4351502415250999
Z6_SE,22,0.4562445004281393
Z6_SE,23,0.4668342654841577
Z6_SE,24,0.46016514525903235
